Spanish,English,French,Chinese,Topic,Sub-topic,AudioOK,ImageOK,EnglishAudio,SpanishAudio,Image,Original image name,Copyright (if any),Missing,Existing,New,Comments,frenchaudio,chineseaudio
azul,blue,,蓝色,Colors,,✓,✓,oas_eng_blue,oas_spa_azul,azul,,,,X,,,,
marrón,brown,,棕色,Colors,,✓,✓,oas_eng_brown,oas_spa_marron,marron,,,,X,,,,
coralino,coral,,珊瑚色,Colors,,✓,✓,oas_eng_coral,oas_spa_coralino,coral,shutterstock_243146095,,,,X,,,
dorado,gold,,金色,Colors,,✓,✓,oas_eng_gold,oas_spa_dorado,golden,shutterstock_161317937,,,,X,,,
gris,gray,,灰色,Colors,,✓,✓,oas_eng_gray,oas_spa_gris,gris,,,,X,,,,
verde,green,,绿色,Colors,,✓,✓,oas_eng_green,oas_spa_verde,verde,,,,X,,,,
anaranjado,orange,,橙色,Colors,,✓,✓,oas_eng_orange,oas_spa_anaranjado,anaranjado,,,,X,,,,
rosado,pink,,粉红色,Colors,,✓,✓,oas_eng_pink,oas_spa_rosado,rosado,,,,X,,,,
morado,purple,,紫色,Colors,,✓,✓,oas_eng_purple,oas_spa_morado,purple,shutterstock_257548306,,,,X,,,
rojo,red,,红色,Colors,,✓,✓,oas_eng_red,oas_spa_rojo,red,shutterstock_292140977,,,,X,,,
plateado,silver,,银色,Colors,,✓,✓,oas_eng_silver,oas_spa_plateado,silver,shutterstock_143690194,,,,X,,,
turquesa,turquoise,,绿松石色／蓝绿色,Colors,,✓,✓,oas_eng_turquoise,oas_spa_turquesa,turquoise,shutterstock_125650301,,,,X,,,
violeta,violet,,紫色,Colors,,✓,✓,oas_eng_violet,oas_spa_violeta,violet,shutterstock_397276885,,,,X,,,
blanco,white,,白色,Colors,,✓,✓,oas_eng_white,oas_spa_blanco,blanco,,,,X,,,,
Amarillo,yellow,,黄色,Colors,,✓,✓,oas_eng_yellow,oas_spa_amarillo,amarillo,,,,X,,,,
Los números,NUMBERS,,数字,Numbers,Cardinal,NA,NA,oas_eng_numbers,oas_spa_los_numeros,numbers,shutterstock_141985606,,,,X,,,
cero,zero,,零,Numbers,Cardinal,✓,x,oas_eng_zero,oas_spa_cero,,,,,X,,,,
medio,one-half,,二分之一,Numbers,Cardinal,✓,✓,oas_eng_one_half,oas_spa_medio,half,shutterstock_342268787,,,,X,,,
uno,one,,一,Numbers,Cardinal,✓,✓,oas_eng_one,oas_spa_uno,uno,,,,X,,,,
dos,two,,二,Numbers,Cardinal,✓,✓,oas_eng_two,oas_spa_dos,dos,,,,X,,,,
tres,three,,三,Numbers,Cardinal,✓,✓,oas_eng_three,oas_spa_tres,tres,,,,X,,,,
cuatro,four,,四,Numbers,Cardinal,✓,✓,oas_eng_four,oas_spa_cuatro,cuatro,,,,X,,,,
cinco,five,,五,Numbers,Cardinal,✓,✓,oas_eng_five,oas_spa_cinco,cinco,,,,X,,,,
seis,six,,六,Numbers,Cardinal,✓,✓,oas_eng_six,oas_spa_seis,seis,,,,X,,,,
siete,seven,,七,Numbers,Cardinal,✓,✓,oas_eng_seven,oas_spa_siete,siete,,,,X,,,,
ocho,eight,,八,Numbers,Cardinal,✓,✓,oas_eng_eight,oas_spa_ocho,ocho,,,,X,,,,
nueve,nine,,九,Numbers,Cardinal,✓,✓,oas_eng_nine,oas_spa_nueve,nueve,,,,X,,,,
diez,ten,,十,Numbers,Cardinal,✓,✓,oas_eng_ten,oas_spa_diez,diez,,,,X,,,,
once,eleven,,十一,Numbers,Cardinal,✓,✓,oas_eng_eleven,oas_spa_once,once,,,,X,,,,
doce,twelve,,十二,Numbers,Cardinal,✓,✓,oas_eng_twelve,oas_spa_doce,doce,,,,X,,,,
trece,thirteen,,十三,Numbers,Cardinal,✓,✓,oas_eng_thirteen,oas_spa_trece,trece,,,,X,,,,
catorce,fourteen,,十四,Numbers,Cardinal,✓,✓,oas_eng_fourteen,oas_spa_catorce,catorce,,,,X,,,,
quince,fifteen,,十五,Numbers,Cardinal,✓,✓,oas_eng_fifteen,oas_spa_quince,quince,,,,X,,,,
dieciséis,sixteen,,十六,Numbers,Cardinal,✓,✓,oas_eng_sixteen,oas_spa_dieciseis,dieciseis,,,,X,,,,
diecisiete,seventeen,,十七,Numbers,Cardinal,✓,✓,oas_eng_seventeen,oas_spa_diecisiete,diecisiete,,,,X,,,,
dieciocho,eighteen,,十八,Numbers,Cardinal,✓,✓,oas_eng_eighteen,oas_spa_dieciocho,dieciocho,,,,X,,,,
diecinueve,nineteen,,十九,Numbers,Cardinal,✓,✓,oas_eng_nineteen,oas_spa_diecinueve,diecinueve,,,,X,,,,
veinte,twenty,,二十,Numbers,Cardinal,✓,✓,oas_eng_twenty,oas_spa_veinte,veinte,,,,X,,,,
veintiuno,twenty-one,,二十一,Numbers,Cardinal,✓,✓,oas_eng_twenty_one,oas_spa_veintiuno,veintiuno,,,,X,,,,
veintidós,twenty-two,,二十二,Numbers,Cardinal,✓,✓,oas_eng_twenty_two,oas_spa_veintidos,veintidos,,,,X,,,,
treinta,thirty,,三十,Numbers,Cardinal,✓,✓,oas_eng_thirty,oas_spa_treinta,treinta,,,,X,,,,
treinta y uno,thirty-one,,三十一,Numbers,Cardinal,✓,✓,oas_eng_thirty_one,oas_spa_treinta_y_uno,treinta-y-uno,,,,X,,,,
el supermercado,supermarket,,超级市场,Conversation,Shopping,✓,x (pixelada),oas_eng_supermarket,oas_spa_el_supermercado,supermercado,shutterstock_100209443,,,,X,,,
cuarenta,forty,,四十,Numbers,Cardinal,✓,✓,oas_eng_forty,oas_spa_cuarenta,40,shutterstock_462281278,,,X,,,,
cincuenta,fifty,,五十,Numbers,Cardinal,✓,✓,oas_eng_fifty,oas_spa_cincuenta,50,shutterstock_384056824,,,X,,,,
sesenta,sixty,,六十,Numbers,Cardinal,✓,✓,oas_eng_sixty,oas_spa_sesenta,60,shutterstock_357401276,,,X,,,,
setenta,seventy,,七十,Numbers,Cardinal,✓,✓,oas_eng_seventy,oas_spa_setenta,70,shutterstock_376919161,,,X,,,,
ochenta,eighty,,八十,Numbers,Cardinal,✓,✓,oas_eng_eighty,oas_spa_ochenta,80,shutterstock_289150061,,,X,,,,
noventa,ninety,,九十,Numbers,Cardinal,✓,✓,oas_eng_ninety,oas_spa_noventa,90,shutterstock_333825191,,,X,,,,
cien,one hundred,,一百,Numbers,Cardinal,✓,✓,oas_eng_one_hundred,oas_spa_cien,100,shutterstock_114765652,,,X,,,,
doscientos,two hundred,,两百,Numbers,Cardinal,✓,✓,oas_eng_two_hundreds,oas_spa_doscientos,200,shutterstock_478697371,,,X,,,,
quinientos,five hundred,,五百,Numbers,Cardinal,✓,✓,oas_eng_five_hundreds,oas_spa_quinientos,500,shutterstock_226973116,,,X,,,,
setecientos,seven hundred,,七百,Numbers,Cardinal,✓,✓,oas_eng_seven_hundreds,oas_spa_setecientos,700,shutterstock_469122791,,,X,,,,
ochocientos,eight hundred,,八百,Numbers,Cardinal,✓,✓,oas_eng_eight_hundreds,oas_spa_ochocientos,800,shutterstock_262609259,,,X,,,,
novecientos,nine hundred,,九百,Numbers,Cardinal,✓,✓,oas_eng_nine_hundreds,oas_spa_novecientos,900,,,,X,,,,
mil,one thousand,,一千,Numbers,Cardinal,✓,✓,oas_eng_one_thousand,oas_spa_mil,1000,shutterstock_360121655,,,X,,,,
un millón (de),one million,,一百万,Numbers,Cardinal,✓,✓,oas_eng_one_million,oas_spa_un_millon_(de),one_million,shutterstock_63306502,,,X,,,,
Números ordinales,Ordinal numbers,,序数,Numbers,Ordinal,NA,NA,oas_eng_ordinal_numbers,oas_spa_numeros_ordinales,ordinal_numbers,shutterstock_190916126,,,X,,,,
primero,first,,第一,Numbers,Ordinal,✓,✓,oas_eng_first,oas_spa_primero,first,shutterstock_431947249,,,X,,,,
segundo,second,,第二,Numbers,Ordinal,✓,✓,oas_eng_second,oas_spa_segundo,2nd,shutterstock_253531111,,,X,,,,
postales,postcards,,明信片,Conversation,Questions,✓,x (pixelada),oas_eng_postcards,oas_spa_postales,tarjeta_postal,,,,X,,,,
cuarto,fourth,,第四,Numbers,Ordinal,✓,✓,oas_eng_fourth,oas_spa_cuarto,4th,shutterstock_285834011,,,X,,,,
el té,tea,,茶,Food,Drink,✓,x (pixelada),oas_eng_tea,oas_spa_el_te,te,,,,X,,,,
sexto,sixth,,第六,Numbers,Ordinal,✓,✓,oas_eng_sixth,oas_spa_sexto,6th,shutterstock_362044334,,,X,,,,
séptimo,seventh,,第七,Numbers,Ordinal,✓,✓,oas_eng_seventh,oas_spa_septimo,7th,shutterstock_273756350,,,X,,,,
octavo,eighth,,第八,Numbers,Ordinal,✓,✓,oas_eng_eighth,oas_spa_octavo,8th,shutterstock_405751072,,,X,,,,
noveno,ninth,,第九,Numbers,Ordinal,✓,✓,oas_eng_ninth,oas_spa_noveno,9th,shutterstock_365617397,,,X,,,,
décimo,tenth,,第十,Numbers,Ordinal,✓,✓,oas_eng_tenth,oas_spa_decimo,10th,shutterstock_421250635,,,X,,,,
Quiero ir al mercado.,I want to go to the market.,,我想去市场,Conversation,Directions,x,✓,oas_eng_i_want_to_go_to_the_market,oas_spa_quiero_ir_al_mercado,i_want_to_go_to_the_market,shutterstock_149345627,,,X,,,,
¿Podría Ud. indicármelo en el mapa?,Can you show me it on the map?,,你能在地图上给我指出它的位置吗？,Conversation,Directions,x,✓,oas_eng_can_you_show_me_it_on_the_map?,oas_spa_podria_ud_indicarmelo_en_el_mapa,can_you_show_me_it_on_the_map,shutterstock_110680448,,,X,,poner punto después de Ud.,,
¿Podría Ud. escribirlo por favor?,Can you write that down please?,,你可以写下来吗？,Conversation,Directions,x,✓,oas_eng_can_you_write_that_down_please?,oas_spa_podria_ud_escribirlo_por_favor,can_you_write_that_down_please,shutterstock_1341939,,,X,,poner punto después de Ud.,,
el tenedor,fork,,叉子,Food,Table,✓,x (pixelada),oas_eng_fork,oas_spa_el_tenedor,tenedor,,,,X,,,,
continúe/ande,continue/walk,,继续/步行,Conversation,Directions,✓,✓,oas_eng_continue/walk,oas_spa_continue/ande,continue,shutterstock_150128987,,,X,,,,
"dé la vuelta, doble, gire",turn,,转,Conversation,Directions,✓,✓,oas_eng_turn,oas_spa_de_la_vuelta,turn,shutterstock_461185633,,,X,,,,
cruce,cross,,穿过（马路）,Conversation,Directions,✓,✓,oas_eng_cross,oas_spa_cruce,cross,shutterstock_24636823,,,X,,,,
"regrese, vuelva",return,,返回,Conversation,Directions,✓,✓,oas_eng_return,oas_spa_regrese,return,shutterstock_204663160,,,X,,,,
llegue,arrive,,到达,Conversation,Directions,✓,✓,oas_eng_arrive,oas_spa_llegue,arrive,shutterstock_167375330,,,X,,,,
al principio,at the beginning,,最初,Conversation,Directions,✓,✓,oas_eng_at_the_beginning,oas_spa_al_principio,at_the_beginning,shutterstock_319218734,,,X,,,,
medio,middle,,中间,Conversation,Directions,✓,✓,oas_eng_middle,oas_spa_medio,middle,shutterstock_319072733,,,X,,,,
final,end,,结束,Conversation,Directions,x,✓,oas_eng_end,oas_spa_al_final,final,shutterstock_461122009,,,,X,,,
en la esquina,at the corner,,在角落,Conversation,Directions,✓,✓,oas_eng_at_the_corner,oas_spa_en_la_esquina,esquina,shutterstock_360854978,,,,X,,,
entre,between,,之间,Conversation,Directions,✓,✓,oas_eng_between,oas_spa_entre,entre,shutterstock_317047874,,,,X,,,
rápido,fast,,快,Conversation,Directions,✓,✓,oas_eng_fast,oas_spa_rapido,rapido,shutterstock_127513946,,,,X,,,
"lento, despacio",slow,,慢,Conversation,Directions,✓,x,oas_eng_slow,oas_spa_lento,lento,,,,X,,,,
las tijeras,scissors,,剪刀,Pharmacy,,✓,x (pixelada),oas_eng_scissors,oas_spa_las_tijeras,tijeras,,,,X,,,,
una toalla,towel,,毛巾,Hotel,,✓,x (pixelada),oas_eng_towel,oas_spa_una_toalla,toalla,,,,X,,,,
aquí,here,,这里,Conversation,Directions,✓,✓,oas_eng_here,oas_spa_aqui,here,shutterstock_81063217,,,,X,,,
mañana,tomorrow,,明天,Time,Days,✓,x (pixelada),oas_eng_tomorrow,oas_spa_manana,tomorrow,shutterstock_16945984,,,,X,,,
delante de,in front of,,在前面,Conversation,Directions,✓,x,oas_eng_in_front_of,oas_spa_delante_de,,,,,X,,,,
detrás de,in back of,,在后面,Conversation,Directions,✓,✓,oas_eng_in_back_of,oas_spa_detras_de,detras_de,shutterstock_8604685,,,,X,,,
la torta,cake,,蛋糕,Food,Names,✓,x (pixelada),oas_eng_cake,oas_spa_la_torta,torta,,,,X,,,,
lejos (de),far,,远,Conversation,Directions,✓,✓,oas_eng_far,oas_spa_lejos_(de),lejos,,,,X,,,,
al lado de,next to,,在...旁边,Conversation,Directions,✓,✓,oas_eng_next_to,oas_spa_al_lado_de,al_lado_de,shutterstock_446593294,,,,X,,,
al otro lado de,across,,横过；对面,Conversation,Directions,✓,✓,oas_eng_across,oas_spa_al_otro_lado_de,al_otro_lado,shutterstock_343050926,,,,X,,,
encima de,on top of,,在...之上,Conversation,Directions,✓,✓,oas_eng_on_top_of,oas_spa_encima_de,encima,shutterstock_106653557,,,,X,,,
debajo de,underneath,,在...之下,Conversation,Directions,✓,✓,oas_eng_underneath,oas_spa_debajo_de,debajo,shutterstock_449589640,,,,X,,,
"(todo) derecho, (todo) recto (Esp.)",straight ahead,,直走,Conversation,Directions,✓,✓,oas_eng_straight_ahead,oas_spa_(todo)_derecho,derecho,shutterstock_110870906,,,,X,,,
a la derecha,to (on) the right,,在右手边,Conversation,Directions,✓,✓,oas_eng_to_(on)_the_right,oas_spa_a_la_derecha,a_la_derecha,,,,X,,,,
el traje de baño,swimsuit,,泳衣,Clothing,,✓,x (pixelada),oas_eng_swimsuit,oas_spa_el_traje_de_bano,traje_de_bano_banador,,,,X,,,,
arriba,up,,上,Conversation,Directions,✓,x,oas_eng_up,oas_spa_arriba,,,,,X,,,,
abajo,down,,下,Conversation,Directions,x,✓,oas_eng_down,oas_spa_abajo,down,shutterstock_127224164,,,,X,,,
Los destinos,DESTINATIONS,,目的地,Conversation,Destinations,NA,NA,oas_eng_destinations,oas_spa_los_destinos,destinos,shutterstock_191290916,,,,X,,,
Estoy buscando ...,I’m looking for a/an ...,,我正在找一（个）___,Conversation,Destinations,✓,✓,oas_eng_im_looking_for_a/an____,oas_spa_estoy_buscando____,estoy_buscando,shutterstock_100248272,,,,X,,,
¿Hay .... cerca?,Is there a/an ... nearby?,,附近有没有一（个）_____？,Conversation,Destinations,✓,✓,oas_eng_is_there_a/an_______nearby?,oas_spa_hay_______cerca,hay_cerca,shutterstock_315026633,,,,X,,,
una galería de arte,art gallery,,画廊,Conversation,Destinations,✓,x,oas_eng_art_gallery,oas_spa_una_galeria_de_arte,galeria_de_arte,,,,X,,,,
un bar,bar,,酒吧,Conversation,Destinations,✓,x,oas_eng_bar,oas_spa_un_bar,bar,,,,,X,,,
una peluquería,barbershop,,理发店（男性）,Conversation,Destinations,✓,✓,oas_eng_barbershop,oas_spa_una_peluqueria,peluqueria,shutterstock_468060422,,,,X,,,
una catedral,church,,教堂,Conversation,Destinations,✓,✓,oas_eng_church,oas_spa_una_catedral,catedral,shutterstock_322475954,,,X,,,,
el tren,train,,火车,Traveling,Airport,✓,x (pixelada),oas_eng_train,oas_spa_el_tren,tren,,,,X,,,,
una fábrica,factory,,工厂,Conversation,Destinations,✓,✓,oas_eng_factory,oas_spa_una_fabrica,fabrica,shutterstock_306665246,,,,X,,,
un taller,workshop,,作坊,Conversation,Destinations,✓,✓,oas_eng_workshop,oas_spa_un_taller,taller,shutterstock_442241902,,,,X,,,
un salón de belleza,hairdresser,,理发师,Conversation,Destinations,✓,x,oas_eng_hairdresser,oas_spa_un_salon_de_belleza,,,,,X,,,,
"un gimnasio, un club de salud",health club,,健身房,Conversation,Destinations,✓,✓,oas_eng_health_club,oas_spa_un_gimnasio,gimnasio,shutterstock_414409300,,,,X,,,
un hotel,hotel,,饭店,Conversation,Destinations,✓,✓,oas_eng_hotel,oas_spa_un_hotel,hotel,,,,X,,,,
una pensión,guest house,,招待所,Conversation,Destinations,✓,✓,oas_eng_guest_house,oas_spa_una_pension,pension,shutterstock_49208401,,,,X,,,
"un café de Internet, un cibercafé",Internet café,,网吧,Conversation,Destinations,✓,✓,oas_eng_internet_café,oas_spa_un_cafe_de_internet,internet_cafe,shutterstock_315823100,,,,X,,,
un sitio histórico,historic site,,古迹,Conversation,Destinations,✓,✓,oas_eng_historic_site,oas_spa_un_sitio_historico,sitio_historico,shutterstock_128432399,,,,X,,,
una lavandería,laundry,,洗衣店,Conversation,Destinations,✓,x,oas_eng_laundry,oas_spa_una_lavanderia,lavanderia,,,,,X,,,
una tintorería,dry cleaner,,干洗店,Conversation,Destinations,✓,✓,oas_eng_dry_cleaner,oas_spa_una_tintoreria,tintoreria,shutterstock_164766650,,,,X,,,
una biblioteca,library,,图书馆,Conversation,Destinations,✓,✓,oas_eng_library,oas_spa_una_biblioteca,biblioteca,,,,X,,,,
el vaso,glass,,玻璃杯,Food,Table,✓,x (pixelada),oas_eng_glass,oas_spa_el_vaso,vaso,,,,X,,,,
la vela,candle,,蜡烛,Food,Table,✓,x (pixelada),oas_eng_candle,oas_spa_la_vela,vela,,,,X,,,,
una sinagoga,synagogue,,犹太教会堂,Conversation,Destinations,✓,✓,oas_eng_synagogue,oas_spa_una_sinagoga,sinagoga,,,,X,,,,
un museo,museum,,博物馆,Conversation,Destinations,✓,✓,oas_eng_museum,oas_spa_un_museo,museo,,,,X,,,,
un club nocturno,nightclub,,夜店,Conversation,Destinations,✓,x,oas_eng_nightclub,oas_spa_un_club_nocturno,club_nocturno,shutterstock_21834781,,,,X,,,
un parque,park,,公园,Conversation,Destinations,✓,✓,oas_eng_park,oas_spa_un_parque,parque,,,,X,,,,
un ventilador,fan,,电扇,Hotel,,✓,x (pixelada),oas_eng_fan,oas_spa_un_ventilador,ventilador,,,,X,,,,
una escuela,school,,学校,Conversation,Destinations,✓,✓,oas_eng_school,oas_spa_una_escuela,escuela,,,,X,,,,
una universidad,university,,大学,Conversation,Destinations,✓,✓,oas_eng_university,oas_spa_una_universidad,universidad,,,,X,,,,
una piscina,swimming pool,,游泳池,Conversation,Destinations,✓,✓,oas_eng_swimming_pool,oas_spa_una_piscina,piscina,,,,X,,,,
un estadio,stadium,,体育场,Conversation,Destinations,✓,✓,oas_eng_stadium,oas_spa_un_estadio,estadio,,,,X,,,,
una sastrería,tailor,,裁缝,Conversation,Destinations,✓,✓,oas_eng_tailor,oas_spa_una_sastreria,sastreria,shutterstock_157954199,,,,X,,,
"una cancha, una pista (Esp.) de tenis",tennis court,,网球场,Conversation,Destinations,✓,✓,oas_eng_tennis_court,oas_spa_una_cancha,cancha_tenis,shutterstock_60742306,,,,X,,,
un teatro,theater,,剧院,Conversation,Destinations,✓,✓,oas_eng_theater,oas_spa_un_teatro,teatro,,,,X,,,,
un cine,cinema,,电影,Conversation,Destinations,✓,✓,oas_eng_cinema,oas_spa_un_cine,cinema,shutterstock_115484515,,,,X,,,
la naturaleza,nature,,大自然,Nature,,NA,NA,oas_eng_nature,oas_spa_la_naturaleza,naturaleza,shutterstock_78664246,,,X,X,,,
los pájaros,birds,,鸟类,Nature,,✓,✓,oas_eng_birds,oas_spa_los_pajaros,pajaros,shutterstock_107144228,,,,X,,,
las abejas,bees,,蜂类,Nature,,✓,✓,oas_eng_bees,oas_spa_las_abejas,abejas,shutterstock_158087369,,,,X,,,
el desierto,desert,,沙漠,Nature,,✓,✓,oas_eng_desert,oas_spa_el_desierto,desierto,shutterstock_98832962,,,,X,,,
la arena,sand,,沙子,Nature,,✓,✓,oas_eng_sand,oas_spa_la_arena,arena,,,,X,,,,
el oasis,oasis,,绿洲,Nature,,✓,✓,oas_eng_oasis,oas_spa_el_oasis,oasis,shutterstock_150995012,,,,X,,,
la tierra,earth,,地球,Nature,,✓,✓,oas_eng_earth,oas_spa_la_tierra,tierra,shutterstock_155770043,,,,X,,,
el aire,air,,空气,Nature,,✓,✓,oas_eng_air,oas_spa_el_aire,aire,shutterstock_395982706,,,,X,,,
el fuego,fire,,火,Nature,,✓,✓,oas_eng_fire,oas_spa_el_fuego,fuego,,,,X,,,,
el agua,water,,水,Nature,,✓,✓,oas_eng_water,oas_spa_el_agua,agua,shutterstock_91363319,,,,X,,,
el bosque,forest,,森林,Nature,,✓,✓,oas_eng_forest,oas_spa_el_bosque,bosque,,,,X,,,,
el árbol,tree,,树,Nature,,✓,✓,oas_eng_tree,oas_spa_el_arbol,arbol,,,,X,,,,
la hoja,leaf,,叶,Nature,,✓,✓,oas_eng_leaf,oas_spa_la_hoja,hoja,,,,X,,,,
"la hierba, el pasto",grass,,草,Nature,,x,✓,oas_eng_grass,oas_spa_la_hierba,hierba,,,,X,,,,
la flor,flower,,花,Nature,,✓,✓,oas_eng_flower,oas_spa_la_flor,flor,,,,X,,,,
la selva,jungle,,丛林,Nature,,✓,✓,oas_eng_jungle,oas_spa_la_selva,selva_jungla,,,,X,,,,
el lago,lake,,湖,Nature,,✓,✓,oas_eng_lake,oas_spa_el_lago,lago,,,,X,,,,
el río,river,,河,Nature,,✓,✓,oas_eng_river,oas_spa_el_rio,rio,,,,X,,,,
la catarata,waterfall,,瀑布,Nature,,✓,✓,oas_eng_waterfall,oas_spa_la_catarata,catarata,,,,X,,,,
la montaña,mountain,,大山；山脉,Nature,,✓,✓,oas_eng_mountain,oas_spa_la_montana,montana,,,,X,,,,
"el cerro, la colina",hill,,小山；丘陵,Nature,,✓,✓,oas_eng_hill,oas_spa_el_cerro,colina,shutterstock_145991144,,,,X,,,
el valle,valley,,山谷,Nature,,✓,✓,oas_eng_valley,oas_spa_el_valle,valle,,,,X,,,,
las plantas,plants,,植物,Nature,,x,✓,oas_eng_plants,oas_spa_plantas,plantas,shutterstock_101983126,,,,X,,,
los animales,animals,,动物,Nature,,✓,✓,oas_eng_animals,oas_spa_los_animales,los_animales,shutterstock_77179114,,,,X,,,
el cielo,sky,,天空,Nature,,✓,✓,oas_eng_sky,oas_spa_el_cielo,cielo,,,,X,,,,
el sol,sun,,太阳,Nature,,✓,✓,oas_eng_sun,oas_spa_el_sol,sol,shutterstock_254396938,,,,X,,,
la luna,moon,,月亮,Nature,,✓,✓,oas_eng_moon,oas_spa_la_luna,luna,,,,X,,,,
la estrella,star,,星星,Nature,,✓,✓,oas_eng_star,oas_spa_la_estrella,estrella,,,,X,,,,
el mar,sea,,海,Nature,,✓,✓,oas_eng_sea,oas_spa_el_mar,mar,shutterstock_125680667,,,,X,,,
el océano,ocean,,大洋,Nature,,✓,✓,oas_eng_ocean,oas_spa_el_oceano,oceano,,,,X,,,,
la playa,beach,,海滩,Nature,,✓,✓,oas_eng_beach,oas_spa_la_playa,playa,,,,X,,,,
el volcán,volcano,,火山,Nature,,✓,✓,oas_eng_volcano,oas_spa_el_volcan,volcan,shutterstock_5493400,,,X,X,,,
las compras,Shopping,,购物,Conversation,Shopping,NA,NA,oas_eng_shopping,oas_spa_las_compras,compras,shutterstock_91464686,,,,X,,,
¡Vamos de compras!,Let’s go shopping!,,我们去购物吧！,Conversation,Shopping,✓,✓,oas_eng_lets_go_shopping,oas_spa_vamos_de_compras,vamos_de_compras,shutterstock_40053094,,,,X,,,
¿Dónde se puede cambiar dinero?,Where can one change money?,,在哪里可以换钱？,Conversation,Shopping,✓,✓,oas_eng_where_can_one_change_money?,oas_spa_donde_se_puede_cambiar_dinero,cambiar_dinero,shutterstock_14321878,,,,X,,,
¿Cuál es la tasa de cambio?,What is the exchange rate?,,汇率是多少？,Conversation,Shopping,✓,✓,oas_eng_what_is_the_exchange_rate?,oas_spa_cual_es_la_tasa_de_cambio,tasa_de_cambio,shutterstock_337568375,,,,X,,,
¿Cuánto cuesta?,How much does it cost?,,这要多少钱？,Conversation,Shopping,✓,✓,oas_eng_how_much_does_it_cost?,oas_spa_cuanto_cuesta,how_much_does_it_cost,shutterstock_220421158,,,,X,,,
¿Es su mejor precio?,Is this your best price?,,这是你最好的价格了吗？／不能再便宜了吗？,Conversation,Shopping,✓,✓,oas_eng_is_this_your_best_price?,oas_spa_es_su_mejor_precio,is_this_your_best_price,shutterstock_131685221,,,,X,,,
¿Tiene Ud. algo ... ?,Do you have something ... ?,algo _____,你有_____吗？,Conversation,Shopping,x,✓,oas_eng_do_you_have_something______,oas_spa_tiene_ud,do_you_have_something,shutterstock_135194174,,,,X,Corregir español: ¿Tiene Ud...?,,
el vestido,dress,,连衣裙,Clothing,,✓,x (pixelada y tamaño),oas_eng_dress,oas_spa_el_vestido,vestido,,,,X,,,,
menos caro,less expensive,,更便宜？,Conversation,Shopping,✓,✓,oas_eng_less_expensive?,oas_spa_menos_caro,menos_caro,shutterstock_88750561,,,,X,,,
más grande,bigger,,更大,Conversation,Shopping,✓,✓,oas_eng_bigger,oas_spa_mas_grande,larger,shutterstock_184897757,,,,X,,,
más pequeño?,smaller?,,更小？,Conversation,Shopping,✓,✓,oas_eng_smaller?,oas_spa_mas_pequeno,smaller,shutterstock_69687517,,,,X,,,
Sólo estoy mirando.,I’m just looking.,,我只是随便看看,Conversation,Shopping,✓,✓,oas_eng_im_just_looking,oas_spa_solo_estoy_mirando,solo_estoy_mirando,shutterstock_242018884,,,,X,,,
Busco un regalo.,I’m looking for a present.,,我在选一个礼物,Conversation,Shopping,✓,✓,oas_eng_im_looking_for_a_present,oas_spa_busco_un_regalo,busco_un_regalo,shutterstock_279987623,,,,X,,,
¿Puedo verlo?,May I see it?,,我可以看看吗？,Conversation,Shopping,✓,✓,oas_eng_may_i_see_it?,oas_spa_puedo_verlo,puedo_verlo,shutterstock_380833027,,,,X,,,
Me gustaría comprar/devolver esto.,I’d like to purchase/return this.,,我想买／退这个,Conversation,Shopping,✓,✓,oas_eng_id_like_to_purchase/return_this,oas_spa_me_gustaria_comprar/devolver_esto,me_gustaria_comprar,shutterstock_258325652,,,,X,,,
¿Dónde está la caja?,Where is the cashier?,,收银台在哪里？,Conversation,Shopping,✓,✓,oas_eng_where_is_the_cashier?,oas_spa_donde_esta_la_caja,donde_esta_la_caja,shutterstock_155957756,,,,X,,,
¿Se puede pagar con tarjeta de crédito?,May I pay with a credit card?,,我可以用信用卡支付吗？,Conversation,Shopping,✓,✓,oas_eng_may_i_pay_with_a_credit_card?,oas_spa_se_puede_pagar_con_tarjeta_de_credito,pagar_tarjeta,shutterstock_125063549,,,,X,,,
¿Puede enviar (mandar) esta carta/este paquete por correo aéreo?,Can you send this letter/package by air mail?,,您可以通过航空邮件寄这封信/包裹吗？,Conversation,Shopping,✓,✓,oas_eng_can_you_send_this_letter/package_by_air_mail?,oas_spa_puede_enviar_(mandar)_esta_carta/este_paquete_por_correo_aereo,enviar,shutterstock_309932594,,,,X,,,
Las tiendas,Stores,,商店,Conversation,Shopping,NA,NA,oas_eng_stores,oas_spa_las_tiendas,almacenes,shutterstock_443724523,,,,X,,,
la tienda de antigüedades,antique store,,古董店,Conversation,Shopping,✓,✓,oas_eng_antique_store,oas_spa_la_tienda_de_antigüedades,tienda_de_antiguedades,shutterstock_464748584,,,,X,,,
las artesanías,arts and crafts,,工艺美术品店,Conversation,Shopping,✓,✓,oas_eng_arts_and_crafts,oas_spa_las_artesanias,artesanias,shutterstock_472481386,,,,X,,,
"la panadería, la pastelería",bakery,,面包店,Conversation,Shopping,✓,✓,oas_eng_bakery,oas_spa_la_panaderia,panaderia,shutterstock_429408994,,,,X,,,
la librería,bookstore,,书店,Conversation,Shopping,✓,✓,oas_eng_bookstore,oas_spa_la_libreria,libreria,shutterstock_88396792,,,,X,,,
la carnicería,butcher,,肉店,Conversation,Shopping,✓,x,oas_eng_butcher,oas_spa_la_carniceria,,,,,X,,,,
